24849,24851,pg_toast,pg_toast_24845,pg_toast_24845_index,0,0,0
24845,24852,public,django_migrations,django_migrations_pkey,0,0,0
24856,24860,public,django_content_type,django_content_type_pkey,0,0,0
24856,24862,public,django_content_type,django_content_type_app_label_model_76bd3d3b_uniq,0,0,0
24866,24870,public,auth_permission,auth_permission_pkey,0,0,0
24874,24878,public,auth_group,auth_group_pkey,0,0,0
24884,24888,public,auth_group_permissions,auth_group_permissions_pkey,0,0,0
24892,24896,public,auth_user,auth_user_pkey,0,0,0
24902,24906,public,auth_user_groups,auth_user_groups_pkey,0,0,0
24910,24914,public,auth_user_user_permissions,auth_user_user_permissions_pkey,0,0,0
24866,24916,public,auth_permission,auth_permission_content_type_id_codename_01ab375a_uniq,0,0,0
24866,24923,public,auth_permission,auth_permission_content_type_id_2f476e4b,0,0,0
24884,24925,public,auth_group_permissions,auth_group_permissions_group_id_permission_id_0cd325b0_uniq,0,0,0
24884,24937,public,auth_group_permissions,auth_group_permissions_group_id_b120cbf9,0,0,0
24884,24938,public,auth_group_permissions,auth_group_permissions_permission_id_84c5c92e,0,0,0
24902,24940,public,auth_user_groups,auth_user_groups_user_id_group_id_94350c0c_uniq,0,0,0
24902,24952,public,auth_user_groups,auth_user_groups_user_id_6a12ed8b,0,0,0
24902,24953,public,auth_user_groups,auth_user_groups_group_id_97559544,0,0,0
24910,24954,public,auth_user_user_permissions,auth_user_user_permissions_user_id_permission_id_14a6b632_uniq,0,0,0
24910,24966,public,auth_user_user_permissions,auth_user_user_permissions_user_id_a95ead1b,0,0,0
24910,24967,public,auth_user_user_permissions,auth_user_user_permissions_permission_id_1fbb5f2c,0,0,0
24975,24977,pg_toast,pg_toast_24970,pg_toast_24970_index,0,0,0
24970,24978,public,django_admin_log,django_admin_log_pkey,0,0,0
24970,24990,public,django_admin_log,django_admin_log_content_type_id_c4bce8eb,0,0,0
24970,24991,public,django_admin_log,django_admin_log_user_id_c564eba6,0,0,0
4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0
2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0
4161,4162,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0,0
2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0
4143,4144,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0
2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0
4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0
4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0
4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0
4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0
4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0
4155,4156,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0
4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0
4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0
4165,4166,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0,0
4167,4168,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0
2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0
2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,462,1543,1543
