allow_system_table_mods,off,,Options pour le développeur,Permet les modifications de la structure des tables systèmes.,,postmaster,bool,default,,,,off,off,,,false
application_name,PostgreSQL JDBC Driver,,Rapports et traces / Que tracer,Configure le nom de l'application à indiquer dans les statistiques et les journaux.,,user,string,session,,,,"","",,,false
archive_cleanup_command,"",,Write-Ahead Log / Restauration d'archive,Définit la commande shell qui sera appelée à chaque point de reprise (restart point).,,sighup,string,default,,,,"","",,,false
archive_command,(disabled),,Write-Ahead Log / Archivage,La commande shell qui sera appelée pour archiver un journal de transaction.,,sighup,string,default,,,,"","",,,false
archive_mode,off,,Write-Ahead Log / Archivage,Autorise l'archivage des journaux de transactions en utilisant archive_command.,,postmaster,enum,default,,,"{always,on,off}",off,off,,,false
archive_timeout,0,s,Write-Ahead Log / Archivage,"Force un changement du journal de transaction si un nouveau fichier n'a pas
été créé depuis N secondes.",,sighup,integer,default,0,1073741823,,0,0,,,false
array_nulls,on,,Compatibilité des versions et des plateformes / Anciennes versions de PostgreSQL,Active la saisie d'éléments NULL dans les tableaux.,"Si activé, un NULL sans guillemets en tant que valeur d'entrée dans un
tableau signifie une valeur NULL ; sinon, il sera pris littéralement.",user,bool,default,,,,on,on,,,false
authentication_timeout,60,s,Connexions et authentification / Authentification,"Initialise le temps maximum en secondes pour terminer l'authentification du
client.",,sighup,integer,default,1,600,,60,60,,,false
autovacuum,on,,Autovacuum,Exécute le sous-processus de l'autovacuum.,,sighup,bool,default,,,,on,on,,,false
autovacuum_analyze_scale_factor,0.1,,Autovacuum,"Nombre de lignes insérées, mises à jour ou supprimées avant d'analyser
une fraction de reltuples.",,sighup,real,default,0,100,,0.1,0.1,,,false
autovacuum_analyze_threshold,50,,Autovacuum,"Nombre minimum de lignes insérées, mises à jour ou supprimées avant un ANALYZE.",,sighup,integer,default,0,2147483647,,50,50,,,false
autovacuum_freeze_max_age,200000000,,Autovacuum,Âge à partir duquel l'autovacuum se déclenche sur une table pour empêcher un rebouclage des identifiants de transaction.,,postmaster,integer,default,100000,2000000000,,200000000,200000000,,,false
autovacuum_max_workers,3,,Autovacuum,Initialise le nombre maximum de processus autovacuum exécutés simultanément.,,postmaster,integer,default,1,262143,,3,3,,,false
autovacuum_multixact_freeze_max_age,400000000,,Autovacuum,Âge multixact à partir duquel l'autovacuum se déclenche sur une table pour empêcher la réinitialisation du multixact,,postmaster,integer,default,10000,2000000000,,400000000,400000000,,,false
autovacuum_naptime,60,s,Autovacuum,Durée d'endormissement entre deux exécutions d'autovacuum.,,sighup,integer,default,1,2147483,,60,60,,,false
autovacuum_vacuum_cost_delay,2,ms,Autovacuum,"Délai d'un coût de VACUUM en millisecondes, pour autovacuum.",,sighup,real,default,-1,100,,2,2,,,false
autovacuum_vacuum_cost_limit,-1,,Autovacuum,"Coût du VACUUM disponible avant un repos, pour autovacuum.",,sighup,integer,default,-1,10000,,-1,-1,,,false
autovacuum_vacuum_scale_factor,0.2,,Autovacuum,"Nombre de lignes modifiées ou supprimées avant d'exécuter un VACUUM
(fraction de reltuples).",,sighup,real,default,0,100,,0.2,0.2,,,false
autovacuum_vacuum_threshold,50,,Autovacuum,Nombre minimum de lignes mises à jour ou supprimées avant le VACUUM.,,sighup,integer,default,0,2147483647,,50,50,,,false
autovacuum_work_mem,-1,kB,Utilisation des ressources / Mémoire,Initialise la mémoire maximum utilisée par chaque processus autovacuum worker.,,sighup,integer,default,-1,2097151,,-1,-1,,,false
backend_flush_after,0,8kB,Utilisation des ressources / Comportement asynchrone,Nombre de pages après lequel les précédentes écritures seront synchronisées sur disque.,,user,integer,default,0,256,,0,0,,,false
backslash_quote,safe_encoding,,Compatibilité des versions et des plateformes / Anciennes versions de PostgreSQL,Indique si « \' » est autorisé dans une constante de chaîne.,,user,enum,default,,,"{safe_encoding,on,off}",safe_encoding,safe_encoding,,,false
bgwriter_delay,200,ms,Utilisation des ressources / Processus d'écriture en tâche de fond,Durée d'endormissement du processus d'écriture en tâche de fond (background writer) entre deux cycles.,,sighup,integer,default,10,10000,,200,200,,,false
bgwriter_flush_after,0,8kB,Utilisation des ressources / Processus d'écriture en tâche de fond,Nombre de pages après lequel les précédentes écritures seront synchronisées sur disque.,,sighup,integer,default,0,256,,0,0,,,false
bgwriter_lru_maxpages,100,,Utilisation des ressources / Processus d'écriture en tâche de fond,Nombre maximum de pages LRU à nettoyer par le processus d'écriture en tâche de fond (background writer),,sighup,integer,default,0,1073741823,,100,100,,,false
bgwriter_lru_multiplier,2,,Utilisation des ressources / Processus d'écriture en tâche de fond,Multiplede l'utilisation moyenne des tampons à libérer à chaque tour.,,sighup,real,default,0,10,,2,2,,,false
block_size,8192,,Options pré-configurées,Affiche la taille d'un bloc de disque.,,internal,integer,default,8192,8192,,8192,8192,,,false
bonjour,off,,Connexions et authentification / Paramètrages de connexion,Active la publication du serveur via Bonjour.,,postmaster,bool,default,,,,off,off,,,false
bonjour_name,"",,Connexions et authentification / Paramètrages de connexion,Initialise le nom du service Bonjour.,,postmaster,string,default,,,,"","",,,false
bytea_output,hex,,Valeurs par défaut pour les connexions client / Comportement des instructions,Initialise le format de sortie pour bytea.,,user,enum,default,,,"{escape,hex}",hex,hex,,,false
check_function_bodies,on,,Valeurs par défaut pour les connexions client / Comportement des instructions,Vérifie les corps de fonction lors du CREATE FUNCTION.,,user,bool,default,,,,on,on,,,false
checkpoint_completion_target,0.5,,Write-Ahead Log / Points de vérification (Checkpoints),"Temps passé à vider les tampons lors du point de vérification, en tant que
fraction de l'intervalle du point de vérification.",,sighup,real,default,0,1,,0.5,0.5,,,false
checkpoint_flush_after,0,8kB,Write-Ahead Log / Points de vérification (Checkpoints),Nombre de pages après lequel les précédentes écritures seront synchronisées sur disque.,,sighup,integer,default,0,256,,0,0,,,false
checkpoint_timeout,300,s,Write-Ahead Log / Points de vérification (Checkpoints),"Initialise le temps maximum entre des points de vérification (checkpoints)
pour les journaux de transactions.",,sighup,integer,default,30,86400,,300,300,,,false
checkpoint_warning,30,s,Write-Ahead Log / Points de vérification (Checkpoints),"Active des messages d'avertissement si les segments des points de
vérifications se remplissent plus fréquemment que cette durée.","Écrit un message dans les journaux applicatifs du serveur si les points de
vérifications causées par le remplissage des journaux de transaction avec
des points de vérification qui arrivent plus fréquemment que ce nombre de
secondes. Une valeur 0 désactive l'avertissement.",sighup,integer,default,0,2147483647,,30,30,,,false
client_encoding,UTF8,,Valeurs par défaut pour les connexions client / Locale et formattage,Initialise l'encodage du client.,,user,string,client,,,,SQL_ASCII,UTF8,,,false
client_min_messages,notice,,Valeurs par défaut pour les connexions client / Comportement des instructions,Initialise les niveaux de message envoyés au client.,"Chaque niveau inclut les niveaux qui suivent. Plus loin sera le niveau,
moindre sera le nombre de messages envoyés.",user,enum,default,,,"{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}",notice,notice,,,false
cluster_name,"",,Titre du processus,"Configure le nom du cluster, qui est inclus dans le titre du processus.",,postmaster,string,default,,,,"","",,,false
commit_delay,0,,Write-Ahead Log / Paramètrages,"Initialise le délai en microsecondes entre l'acceptation de la transaction
et le vidage du journal de transaction sur disque.",,superuser,integer,default,0,100000,,0,0,,,false
commit_siblings,5,,Write-Ahead Log / Paramètrages,"Initialise le nombre minimum de transactions ouvertes simultanément avant le
commit_delay.",,user,integer,default,0,1000,,5,5,,,false
config_file,C:/Program Files/PostgreSQL/12/data/postgresql.conf,,Emplacement des fichiers,Voir le fichier de configuration principal du serveur.,,postmaster,string,override,,,,,C:/Program Files/PostgreSQL/12/data/postgresql.conf,,,false
constraint_exclusion,partition,,Optimisation des requêtes / Autres options du planificateur,Active l'utilisation des contraintes par le planificateur pour optimiser les requêtes.,"Les parcours de tables seront ignorés si leur contraintes garantissent
qu'aucune ligne ne correspond à la requête.",user,enum,default,,,"{partition,on,off}",partition,partition,,,false
cpu_index_tuple_cost,0.005,,Optimisation des requêtes / Constantes des coûts du planificateur,"Initialise l'estimation du planificateur pour le coût de traitement de
chaque ligne indexée lors d'un parcours d'index.",,user,real,default,0,1.79769e+308,,0.005,0.005,,,false
cpu_operator_cost,0.0025,,Optimisation des requêtes / Constantes des coûts du planificateur,"Initialise l'estimation du planificateur pour le coût de traitement de
chaque opérateur ou appel de fonction.",,user,real,default,0,1.79769e+308,,0.0025,0.0025,,,false
cpu_tuple_cost,0.01,,Optimisation des requêtes / Constantes des coûts du planificateur,"Initialise l'estimation du planificateur pour le coût d'exécution sur chaque
ligne.",,user,real,default,0,1.79769e+308,,0.01,0.01,,,false
cursor_tuple_fraction,0.1,,Optimisation des requêtes / Autres options du planificateur,Initialise l'estimation du planificateur de la fraction des lignes d'un curseur à récupérer.,,user,real,default,0,1,,0.1,0.1,,,false
data_checksums,off,,Options pré-configurées,Affiche si les sommes de contrôle sont activées sur les données pour cette instance.,,internal,bool,override,,,,off,off,,,false
data_directory,C:/Program Files/PostgreSQL/12/data,,Emplacement des fichiers,Initialise le répertoire des données du serveur.,,postmaster,string,override,,,,,C:/Program Files/PostgreSQL/12/data,,,false
data_directory_mode,0700,,Options pré-configurées,Mode du répertoire des données du serveur.,"La valeur du paramètre est une spécification numérique de mode dans la forme acceptée
par les appels système chmod et umask (pour utiliser le format octal
personnalisé, le numéro doit commencer par un 0 (zéro).)",internal,integer,default,0,511,,448,448,,,false
data_sync_retry,off,,Gestion des erreurs,Soit de continuer à s'exécuter après un échec lors de la synchronisation des fichiers de données.,,postmaster,bool,default,,,,off,off,,,false
DateStyle,"ISO, DMY",,Valeurs par défaut pour les connexions client / Locale et formattage,Initialise le format d'affichage des valeurs date et time.,Contrôle aussi l'interprétation des dates ambiguës en entrée.,user,string,client,,,,"ISO, MDY","ISO, DMY",,,false
db_user_namespace,off,,Connexions et authentification / Authentification,Active les noms d'utilisateur par base de données.,,sighup,bool,default,,,,off,off,,,false
deadlock_timeout,1000,ms,Gestion des verrous,Temps d'attente du verrou avant de vérifier les verrous bloqués.,,superuser,integer,default,1,2147483647,,1000,1000,,,false
debug_assertions,off,,Options pré-configurées,Affiche si le serveur en cours d'exécution a les vérifications d'assertion activées.,,internal,bool,default,,,,off,off,,,false
debug_pretty_print,on,,Rapports et traces / Que tracer,Indente l'affichage des arbres d'analyse et de planification.,,user,bool,default,,,,on,on,,,false
debug_print_parse,off,,Rapports et traces / Que tracer,Trace l'arbre d'analyse de chaque requête.,,user,bool,default,,,,off,off,,,false
debug_print_plan,off,,Rapports et traces / Que tracer,Trace le plan d'exécution de chaque requête.,,user,bool,default,,,,off,off,,,false
debug_print_rewritten,off,,Rapports et traces / Que tracer,Trace l'arbre d'analyse réécrit de chaque requête.,,user,bool,default,,,,off,off,,,false
default_statistics_target,100,,Optimisation des requêtes / Autres options du planificateur,Initialise la cible par défaut des statistiques.,"Ceci s'applique aux colonnes de tables qui n'ont pas de cible spécifique
pour la colonne initialisée via ALTER TABLE SET STATISTICS.",user,integer,default,1,10000,,100,100,,,false
default_table_access_method,heap,,Valeurs par défaut pour les connexions client / Comportement des instructions,Définit la méthode d'accès par défaut pour les nouvelles tables.,,user,string,default,,,,heap,heap,,,false
default_tablespace,"",,Valeurs par défaut pour les connexions client / Comportement des instructions,Initialise le tablespace par défaut pour créer les tables et index.,Une chaîne vide sélectionne le tablespace par défaut de la base de données.,user,string,default,,,,"","",,,false
default_text_search_config,pg_catalog.french,,Valeurs par défaut pour les connexions client / Locale et formattage,Initialise la configuration par défaut de la recherche plein texte.,,user,string,configuration file,,,,pg_catalog.simple,pg_catalog.french,C:/Program Files/PostgreSQL/12/data/postgresql.conf,672,false
default_transaction_deferrable,off,,Valeurs par défaut pour les connexions client / Comportement des instructions,Initialise le statut déferrable par défaut des nouvelles transactions.,,user,bool,default,,,,off,off,,,false
default_transaction_isolation,read committed,,Valeurs par défaut pour les connexions client / Comportement des instructions,Initialise le niveau d'isolation des transactions pour chaque nouvelle transaction.,,user,enum,default,,,"{serializable,repeatable read,read committed,read uncommitted}",read committed,read committed,,,false
