1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add document,7,add_document
26,Can change document,7,change_document
27,Can delete document,7,delete_document
28,Can view document,7,view_document
29,Can add nature,8,add_nature
30,Can change nature,8,change_nature
31,Can delete nature,8,delete_nature
32,Can view nature,8,view_nature
33,Can add region,9,add_region
34,Can change region,9,change_region
35,Can delete region,9,delete_region
36,Can view region,9,view_region
37,Can add pays,10,add_pays
38,Can change pays,10,change_pays
39,Can delete pays,10,delete_pays
40,Can view pays,10,view_pays
